Concept	Regex	Home	HomePartLects	Deps	DepPartLects	SumBadDist
\t	/\\t/gm	1	0.Prolog (_pro)	1	19.Тип char (04 Н)	0
тип+	/\W[т|Т]ип\w{0,3}\W/gm	1	0.Prolog (_pro)	30	1.ООП і класи (01 В); 6.Система типів (02 К); 7.Присвоювання (02 К); 12.Специфікатор ref (021 ); 14.Масиви (03 М); 19.Тип char (04 Н); 23.Тип String (05 Р); 28.Структури (06 С); 30.Конструктор копіювання (06 С); 33.Мова Simula (07 О); 34.Приклад класу - Turtle (07 О); 36.Рівні доступу (08 І); 45.Додаткові рівні доступу (10 С); 47.Спадкування та приведення типу (11 К); 48.Параметри методів (11 К); 49.Приведення значущих типів (11 К); 51.Віртуальні методи (12 В); 57.Модель (14 Г); 61.Як зловити виняток (15 В); 65.Абстрактний клас TextWriter (17 Т); 75.Принцип підстановки Лісков (21 У); 76.Узагальнені методи (21 У); 77.Обмеження типу (21 У); 78.Узагальнені класи (22 У); 83.Як влаштований делегат (24 Д); 85.Події в C# (25 П); 92.Події у WinForms (34 У); 98.Серіалізація (35 У); 101.Зв'язані списки (36 З); 109.Метод GetHashCode() (38 Х)	0
клас+	/\W[к|К]лас\w{0,3}\W/gm	1	0.Prolog (_pro)	42	1.ООП і класи (01 В); 2.Платформа .NET (01 В); 5.Файл Program.cs (01 В); 10.Статичні методі (021 ); 15.Властивості та методи масиву (03 М); 17.Багатомірні масиви (03 М); 31.Ідея ООП (07 О); 33.Мова Simula (07 О); 34.Приклад класу - Turtle (07 О); 37.Приховування даних (08 І); 38.Властивості (09 В); 40.Індексатори (09 В); 41.Приклад - колекція рядків (09 В); 43.Спадкування та конструктори (10 С); 44.Перевизначення полів та методів (10 С); 45.Додаткові рівні доступу (10 С); 49.Приведення значущих типів (11 К); 50.Статичні члени класу (111 ); 51.Віртуальні методи (12 В); 54.Приклад. Модель бібліотеки (13 П); 55.Абстрактні класи (13 П); 57.Модель (14 Г); 59.Шаблон MVC (14 Г); 63.Текстові файли (17 Т); 65.Абстрактний клас TextWriter (17 Т); 66.Кодування символів (17 Т); 70.Абстрактний клас Stream (19 Д); 71.Клас FileStream (19 Д); 77.Обмеження типу (21 У); 78.Узагальнені класи (22 У); 82.Колекція List<T> (23 П); 83.Як влаштований делегат (24 Д); 85.Події в C# (25 П); 88.Архітектура програми (31 Щ); 92.Події у WinForms (34 У); 94.Додавання книг (34 У); 98.Серіалізація (35 У); 99.Меню File і стандартні діалоги (35 У); 101.Зв'язані списки (36 З); 106.Клас Dictionary<TKey, TValue> (37 А); 109.Метод GetHashCode() (38 Х); 110.Інші колекції (38 Х)	0
екземпляр+	/\W[е|Е]кземпляр\w{0,3}\W/gm	1	0.Prolog (_pro)	13	5.Файл Program.cs (01 В); 15.Властивості та методи масиву (03 М); 28.Структури (06 С); 33.Мова Simula (07 О); 47.Спадкування та приведення типу (11 К); 50.Статичні члени класу (111 ); 55.Абстрактні класи (13 П); 66.Кодування символів (17 Т); 74.Інтерфейс System.IComparer (20 І); 77.Обмеження типу (21 У); 83.Як влаштований делегат (24 Д); 90.Організація UI (31 Щ); 94.Додавання книг (34 У)	0
метод+	/\W[м|М]етод\w{0,3}\W/gm	1	0.Prolog (_pro)	38	5.Файл Program.cs (01 В); 10.Статичні методі (021 ); 11.Параметри за замовчанням (021 ); 12.Специфікатор ref (021 ); 15.Властивості та методи масиву (03 М); 17.Багатомірні масиви (03 М); 20.Введення символів з клавіатури  (04 Н); 29.Методи структури (06 С); 33.Мова Simula (07 О); 34.Приклад класу - Turtle (07 О); 37.Приховування даних (08 І); 38.Властивості (09 В); 41.Приклад - колекція рядків (09 В); 44.Перевизначення полів та методів (10 С); 48.Параметри методів (11 К); 49.Приведення значущих типів (11 К); 50.Статичні члени класу (111 ); 51.Віртуальні методи (12 В); 53.Поліморфізм (13 П); 54.Приклад. Модель бібліотеки (13 П); 57.Модель (14 Г); 60.Як створити програмний виняток (15 В); 64.Абстрактний клас TextReader (17 Т); 70.Абстрактний клас Stream (19 Д); 73.Стандартний інтерфейс System.IComparable (20 І); 74.Інтерфейс System.IComparer (20 І); 76.Узагальнені методи (21 У); 77.Обмеження типу (21 У); 83.Як влаштований делегат (24 Д); 86.Приклад. Колекція з подіями (25 П); 88.Архітектура програми (31 Щ); 92.Події у WinForms (34 У); 97.Дані у текстовому файлі  (35 У); 98.Серіалізація (35 У); 99.Меню File і стандартні діалоги (35 У); 101.Зв'язані списки (36 З); 109.Метод GetHashCode() (38 Х); 111.Інтерфейси IEnumerable та IEnumerator (39 І)	0
властивост+;властивість	/\W[в|В]ластивост\w{0,3}\W|\W[в|В]ластивість\W/gm	1	0.Prolog (_pro)	17	15.Властивості та методи масиву (03 М); 17.Багатомірні масиви (03 М); 38.Властивості (09 В); 39.Автоматичні властивості (09 В); 40.Індексатори (09 В); 41.Приклад - колекція рядків (09 В); 46.Підкласи (11 К); 50.Статичні члени класу (111 ); 53.Поліморфізм (13 П); 75.Принцип підстановки Лісков (21 У); 88.Архітектура програми (31 Щ); 89.Дизайнер UI (31 Щ); 90.Організація UI (31 Щ); 93.Прив'язка даних (34 У); 94.Додавання книг (34 У); 96.Перевірка вводу користувача (34 У); 100.Завершення роботи програми (35 У)	0
посиланн+	/\W[п|П]осиланн\w{0,3}\W/gm	1	0.Prolog (_pro)	8	12.Специфікатор ref (021 ); 47.Спадкування та приведення типу (11 К); 50.Статичні члени класу (111 ); 83.Як влаштований делегат (24 Д); 85.Події в C# (25 П); 88.Архітектура програми (31 Щ); 98.Серіалізація (35 У); 101.Зв'язані списки (36 З)	0
модул+	/\W[м|М]одул\w{0,3}\W/gm	1	0.Prolog (_pro)	1	1.ООП і класи (01 В)	0
клас+;class	/\W[к|К]лас\w{0,3}\W|\Wclass\W/gm	1	1.ООП і класи (01 В)	47	2.Платформа .NET (01 В); 5.Файл Program.cs (01 В); 10.Статичні методі (021 ); 15.Властивості та методи масиву (03 М); 17.Багатомірні масиви (03 М); 31.Ідея ООП (07 О); 33.Мова Simula (07 О); 34.Приклад класу - Turtle (07 О); 37.Приховування даних (08 І); 38.Властивості (09 В); 39.Автоматичні властивості (09 В); 40.Індексатори (09 В); 41.Приклад - колекція рядків (09 В); 43.Спадкування та конструктори (10 С); 44.Перевизначення полів та методів (10 С); 45.Додаткові рівні доступу (10 С); 46.Підкласи (11 К); 49.Приведення значущих типів (11 К); 50.Статичні члени класу (111 ); 51.Віртуальні методи (12 В); 54.Приклад. Модель бібліотеки (13 П); 55.Абстрактні класи (13 П); 57.Модель (14 Г); 58.Вигляд ( або уявлення) (14 Г); 63.Текстові файли (17 Т); 65.Абстрактний клас TextWriter (17 Т); 66.Кодування символів (17 Т); 70.Абстрактний клас Stream (19 Д); 71.Клас FileStream (19 Д); 73.Стандартний інтерфейс System.IComparable (20 І); 77.Обмеження типу (21 У); 78.Узагальнені класи (22 У); 80.Узагальнені інтерфейси (22 У); 82.Колекція List<T> (23 П); 83.Як влаштований делегат (24 Д); 85.Події в C# (25 П); 86.Приклад. Колекція з подіями (25 П); 88.Архітектура програми (31 Щ); 92.Події у WinForms (34 У); 94.Додавання книг (34 У); 98.Серіалізація (35 У); 99.Меню File і стандартні діалоги (35 У); 101.Зв'язані списки (36 З); 106.Клас Dictionary<TKey, TValue> (37 А); 109.Метод GetHashCode() (38 Х); 110.Інші колекції (38 Х); 112.Цикл foreach (39 І)	0
.NET	/\.NET/gm	1	2.Платформа .NET (01 В)	4	56.Умови гри (14 Г); 88.Архітектура програми (31 Щ); 101.Зв'язані списки (36 З); 104.Асоціативні колекції (37 А)	0
бібліотек+ клас+	/\W[б|Б]ібліотек\w{0,3}\s+клас\w{0,3}\W/gm	1	2.Платформа .NET (01 В)	0		0
середовищ+ виконанн+	/\W[с|С]ередовищ\w{0,3}\s+виконанн\w{0,3}\W/gm	1	2.Платформа .NET (01 В)	0		0
двоетапн+ компіляц+	/\W[д|Д]воетапн\w{0,3}\s+компіляц\w{0,3}\W/gm	1	2.Платформа .NET (01 В)	0		0
CLI	/\WCLI\W/gm	1	3.CLI (01 В)	0		0
dotnet	/\Wdotnet\W/gm	1	3.CLI (01 В)	0		0
VS	/\WVS\W/gm	1	4.Visual Studio (01 В)	0		0
проект+project	/\W[п|П]роект\w{0,3}project\W/gm	1	4.Visual Studio (01 В)	0		0
рішенн+;solution	/\W[р|Р]ішенн\w{0,3}\W|\Wsolution\W/gm	1	4.Visual Studio (01 В)	1	37.Приховування даних (08 І)	0
пакет+;package	/\W[п|П]акет\w{0,3}\W|\Wpackage\W/gm	1	4.Visual Studio (01 В)	0		0
прост+ імен;namespace	/\W[п|П]рост\w{0,3}\s+імен\W|\Wnamespace\W/gm	1	5.Файл Program.cs (01 В)	1	94.Додавання книг (34 У)	0
статичн+;static	/\W[с|С]татичн\w{0,3}\W|\Wstatic\W/gm	2	5.Файл Program.cs (01 В); 50.Статичні члени класу (111 )	14	10.Статичні методі (021 ); 11.Параметри за замовчанням (021 ); 12.Специфікатор ref (021 ); 15.Властивості та методи масиву (03 М); 17.Багатомірні масиви (03 М); 47.Спадкування та приведення типу (11 К); 50.Статичні члени класу (111 ); 60.Як створити програмний виняток (15 В); 72.Класи файлової системи (19 Д); 76.Узагальнені методи (21 У); 77.Обмеження типу (21 У); 83.Як влаштований делегат (24 Д); 98.Серіалізація (35 У); 99.Меню File і стандартні діалоги (35 У)	0
точ+ входу	/\W[т|Т]оч\w{0,3}\s+входу\W/gm	1	5.Файл Program.cs (01 В)	0		0
void	/\Wvoid\W/gm	1	5.Файл Program.cs (01 В)	25	10.Статичні методі (021 ); 12.Специфікатор ref (021 ); 34.Приклад класу - Turtle (07 О); 37.Приховування даних (08 І); 41.Приклад - колекція рядків (09 В); 50.Статичні члени класу (111 ); 51.Віртуальні методи (12 В); 57.Модель (14 Г); 60.Як створити програмний виняток (15 В); 64.Абстрактний клас TextReader (17 Т); 70.Абстрактний клас Stream (19 Д); 78.Узагальнені класи (22 У); 81.Інтерфейс IList<T> (23 П); 82.Колекція List<T> (23 П); 83.Як влаштований делегат (24 Д); 86.Приклад. Колекція з подіями (25 П); 92.Події у WinForms (34 У); 94.Додавання книг (34 У); 96.Перевірка вводу користувача (34 У); 98.Серіалізація (35 У); 99.Меню File і стандартні діалоги (35 У); 100.Завершення роботи програми (35 У); 101.Зв'язані списки (36 З); 105.Інтерфейс IDictionary<TKey, TValue> (37 А); 111.Інтерфейси IEnumerable та IEnumerator (39 І)	0
Console	/\WConsole\W/gm	2	5.Файл Program.cs (01 В); 26.Введення та виведення на консоль (05 Р)	19	9.Цикли (02 К); 10.Статичні методі (021 ); 12.Специфікатор ref (021 ); 15.Властивості та методи масиву (03 М); 17.Багатомірні масиви (03 М); 20.Введення символів з клавіатури  (04 Н); 26.Введення та виведення на консоль (05 Р); 50.Статичні члени класу (111 ); 51.Віртуальні методи (12 В); 53.Поліморфізм (13 П); 58.Вигляд ( або уявлення) (14 Г); 61.Як зловити виняток (15 В); 64.Абстрактний клас TextReader (17 Т); 72.Класи файлової системи (19 Д); 82.Колекція List<T> (23 П); 86.Приклад. Колекція з подіями (25 П); 106.Клас Dictionary<TKey, TValue> (37 А); 109.Метод GetHashCode() (38 Х); 112.Цикл foreach (39 І)	0
Write	/\WWrite\W/gm	3	5.Файл Program.cs (01 В); 26.Введення та виведення на консоль (05 Р); 65.Абстрактний клас TextWriter (17 Т)	9	9.Цикли (02 К); 15.Властивості та методи масиву (03 М); 17.Багатомірні масиви (03 М); 26.Введення та виведення на консоль (05 Р); 53.Поліморфізм (13 П); 58.Вигляд ( або уявлення) (14 Г); 65.Абстрактний клас TextWriter (17 Т); 70.Абстрактний клас Stream (19 Д); 71.Клас FileStream (19 Д)	0
WriteLine	/\WWriteLine\W/gm	3	5.Файл Program.cs (01 В); 26.Введення та виведення на консоль (05 Р); 65.Абстрактний клас TextWriter (17 Т)	20	9.Цикли (02 К); 11.Параметри за замовчанням (021 ); 12.Специфікатор ref (021 ); 17.Багатомірні масиви (03 М); 20.Введення символів з клавіатури  (04 Н); 50.Статичні члени класу (111 ); 51.Віртуальні методи (12 В); 58.Вигляд ( або уявлення) (14 Г); 61.Як зловити виняток (15 В); 64.Абстрактний клас TextReader (17 Т); 65.Абстрактний клас TextWriter (17 Т); 67.Гарантоване виконання (18 Г); 69.Команда using (18 Г); 72.Класи файлової системи (19 Д); 82.Колекція List<T> (23 П); 86.Приклад. Колекція з подіями (25 П); 97.Дані у текстовому файлі  (35 У); 106.Клас Dictionary<TKey, TValue> (37 А); 109.Метод GetHashCode() (38 Х); 112.Цикл foreach (39 І)	0
значущі+ тип+;value types	/\W[з|З]начущі\w{0,3}\s+тип\w{0,3}\W|\Wvalue\s+types\W/gm	1	6.Система типів (02 К)	0		0
посилальн+ тип+;reference types	/\W[п|П]осилальн\w{0,3}\s+тип\w{0,3}\W|\Wreference\s+types\W/gm	1	6.Система типів (02 К)	0		0
термінатор+	/\W[т|Т]ермінатор\w{0,3}\W/gm	1	7.Присвоювання (02 К)	0		0
сепаратор+	/\W[с|С]епаратор\w{0,3}\W/gm	1	7.Присвоювання (02 К)	0		0
умовн+ команд+	/\W[у|У]мовн\w{0,3}\s+команд\w{0,3}\W/gm	1	8.Умовна команда (02 К)	0		0
while	/\Wwhile\W/gm	1	9.Цикли (02 К)	2	15.Властивості та методи масиву (03 М); 64.Абстрактний клас TextReader (17 Т)	0
do-while	/\Wdo\-while\W/gm	1	9.Цикли (02 К)	0		0
for	/\Wfor\W/gm	1	9.Цикли (02 К)	5	17.Багатомірні масиви (03 М); 20.Введення символів з клавіатури  (04 Н); 58.Вигляд ( або уявлення) (14 Г); 82.Колекція List<T> (23 П); 97.Дані у текстовому файлі  (35 У)	0
foreach	/\Wforeach\W/gm	3	9.Цикли (02 К); 66.Кодування символів (17 Т); 112.Цикл foreach (39 І)	9	65.Абстрактний клас TextWriter (17 Т); 66.Кодування символів (17 Т); 69.Команда using (18 Г); 72.Класи файлової системи (19 Д); 76.Узагальнені методи (21 У); 81.Інтерфейс IList<T> (23 П); 97.Дані у текстовому файлі  (35 У); 106.Клас Dictionary<TKey, TValue> (37 А); 112.Цикл foreach (39 І)	0
ref	/\Wref\W/gm	1	12.Специфікатор ref (021 )	1	64.Абстрактний клас TextReader (17 Т)	0
out	/\Wout\W/gm	1	12.Специфікатор ref (021 )	3	96.Перевірка вводу користувача (34 У); 105.Інтерфейс IDictionary<TKey, TValue> (37 А); 111.Інтерфейси IEnumerable та IEnumerator (39 І)	0
params	/\Wparams\W/gm	1	13.Змінна кількість параметрів (021 )	1	65.Абстрактний клас TextWriter (17 Т)	0
new	/\Wnew\W/gm	1	14.Масиви (03 М)	30	17.Багатомірні масиви (03 М); 28.Структури (06 С); 30.Конструктор копіювання (06 С); 34.Приклад класу - Turtle (07 О); 41.Приклад - колекція рядків (09 В); 47.Спадкування та приведення типу (11 К); 50.Статичні члени класу (111 ); 51.Віртуальні методи (12 В); 54.Приклад. Модель бібліотеки (13 П); 57.Модель (14 Г); 60.Як створити програмний виняток (15 В); 64.Абстрактний клас TextReader (17 Т); 65.Абстрактний клас TextWriter (17 Т); 67.Гарантоване виконання (18 Г); 69.Команда using (18 Г); 71.Клас FileStream (19 Д); 73.Стандартний інтерфейс System.IComparable (20 І); 77.Обмеження типу (21 У); 78.Узагальнені класи (22 У); 82.Колекція List<T> (23 П); 84.Лямбда-вирази (24 Д); 86.Приклад. Колекція з подіями (25 П); 88.Архітектура програми (31 Щ); 94.Додавання книг (34 У); 97.Дані у текстовому файлі  (35 У); 99.Меню File і стандартні діалоги (35 У); 101.Зв'язані списки (36 З); 106.Клас Dictionary<TKey, TValue> (37 А); 109.Метод GetHashCode() (38 Х); 112.Цикл foreach (39 І)	0
конструктор+	/\W[к|К]онструктор\w{0,3}\W/gm	1	14.Масиви (03 М)	12	30.Конструктор копіювання (06 С); 37.Приховування даних (08 І); 41.Приклад - колекція рядків (09 В); 43.Спадкування та конструктори (10 С); 50.Статичні члени класу (111 ); 58.Вигляд ( або уявлення) (14 Г); 71.Клас FileStream (19 Д); 77.Обмеження типу (21 У); 83.Як влаштований делегат (24 Д); 94.Додавання книг (34 У); 100.Завершення роботи програми (35 У); 101.Зв'язані списки (36 З)	0
селектор+	/\W[с|С]електор\w{0,3}\W/gm	1	14.Масиви (03 М)	0		0
властивіст+;властивост+	/\W[в|В]ластивіст\w{0,3}\W|\W[в|В]ластивост\w{0,3}\W/gm	2	15.Властивості та методи масиву (03 М); 38.Властивості (09 В)	16	17.Багатомірні масиви (03 М); 38.Властивості (09 В); 39.Автоматичні властивості (09 В); 40.Індексатори (09 В); 41.Приклад - колекція рядків (09 В); 46.Підкласи (11 К); 50.Статичні члени класу (111 ); 53.Поліморфізм (13 П); 75.Принцип підстановки Лісков (21 У); 88.Архітектура програми (31 Щ); 89.Дизайнер UI (31 Щ); 90.Організація UI (31 Щ); 93.Прив'язка даних (34 У); 94.Додавання книг (34 У); 96.Перевірка вводу користувача (34 У); 100.Завершення роботи програми (35 У)	0
Array	/\WArray\W/gm	1	15.Властивості та методи масиву (03 М)	6	17.Багатомірні масиви (03 М); 30.Конструктор копіювання (06 С); 38.Властивості (09 В); 57.Модель (14 Г); 73.Стандартний інтерфейс System.IComparable (20 І); 78.Узагальнені класи (22 У)	0
Length	/\WLength\W/gm	1	15.Властивості та методи масиву (03 М)	8	17.Багатомірні масиви (03 М); 25.Операції з рядками (05 Р); 29.Методи структури (06 С); 30.Конструктор копіювання (06 С); 38.Властивості (09 В); 41.Приклад - колекція рядків (09 В); 78.Узагальнені класи (22 У); 97.Дані у текстовому файлі  (35 У)	0
BinarySearch	/\WBinarySearch\W/gm	2	15.Властивості та методи масиву (03 М); 82.Колекція List<T> (23 П)	1	82.Колекція List<T> (23 П)	0
IndexOf	/\WIndexOf\W/gm	2	15.Властивості та методи масиву (03 М); 25.Операції з рядками (05 Р)	2	25.Операції з рядками (05 Р); 81.Інтерфейс IList<T> (23 П)	0
Sort	/\WSort\W/gm	1	15.Властивості та методи масиву (03 М)	2	73.Стандартний інтерфейс System.IComparable (20 І); 82.Колекція List<T> (23 П)	0
break	/\Wbreak\W/gm	1	16.Вreak, continue і goto (03 М)	1	100.Завершення роботи програми (35 У)	0
continue	/\Wcontinue\W/gm	1	16.Вreak, continue і goto (03 М)	0		0
goto	/\Wgoto\W/gm	1	16.Вreak, continue і goto (03 М)	1	68.Переходи в блоці try (18 Г)	0
двомірн+ масив+	/\W[д|Д]вомірн\w{0,3}\s+масив\w{0,3}\W/gm	1	17.Багатомірні масиви (03 М)	0		0
xor	/\Wxor\W/gm	1	18.Тип bool (04 Н)	0		0
 ^ 	/\s+\^\s+/gm	1	18.Тип bool (04 Н)	0		0
char	/\Wchar\W/gm	1	19.Тип char (04 Н)	4	20.Введення символів з клавіатури  (04 Н); 34.Приклад класу - Turtle (07 О); 40.Індексатори (09 В); 64.Абстрактний клас TextReader (17 Т)	0
Read	/\WRead\W/gm	2	20.Введення символів з клавіатури  (04 Н); 64.Абстрактний клас TextReader (17 Т)	3	64.Абстрактний клас TextReader (17 Т); 70.Абстрактний клас Stream (19 Д); 71.Клас FileStream (19 Д)	0
ReadKey	/\WReadKey\W/gm	1	20.Введення символів з клавіатури  (04 Н)	0		0
Encoding	/\WEncoding\W/gm	2	20.Введення символів з клавіатури  (04 Н); 66.Кодування символів (17 Т)	1	66.Кодування символів (17 Т)	0
ASCII	/\WASCII\W/gm	1	21.Кодування ASCII (04 Н)	1	22.Кодування Unicode (04 Н)	0
Unicode	/\WUnicode\W/gm	1	22.Кодування Unicode (04 Н)	0		0
UTF-8	/\WUTF\-8\W/gm	1	22.Кодування Unicode (04 Н)	1	66.Кодування символів (17 Т)	0
UTF-16	/\WUTF\-16\W/gm	1	22.Кодування Unicode (04 Н)	0		0
String; string	/\WString\W|\s+string/gm	1	23.Тип String (05 Р)	16	26.Введення та виведення на консоль (05 Р); 30.Конструктор копіювання (06 С); 41.Приклад - колекція рядків (09 В); 44.Перевизначення полів та методів (10 С); 51.Віртуальні методи (12 В); 54.Приклад. Модель бібліотеки (13 П); 55.Абстрактні класи (13 П); 64.Абстрактний клас TextReader (17 Т); 65.Абстрактний клас TextWriter (17 Т); 71.Клас FileStream (19 Д); 72.Класи файлової системи (19 Д); 76.Узагальнені методи (21 У); 86.Приклад. Колекція з подіями (25 П); 98.Серіалізація (35 У); 101.Зв'язані списки (36 З); 105.Інтерфейс IDictionary<TKey, TValue> (37 А)	0
рядков+ інтерполяці+	/\W[р|Р]ядков\w{0,3}\s+інтерполяці\w{0,3}\W/gm	1	24.Рядкові літерали (05 Р)	0		0
Substring	/\WSubstring\W/gm	1	25.Операції з рядками (05 Р)	0		0
LastIndexOf	/\WLastIndexOf\W/gm	1	25.Операції з рядками (05 Р)	0		0
ReadLine	/\WReadLine\W/gm	1	26.Введення та виведення на консоль (05 Р)	2	64.Абстрактний клас TextReader (17 Т); 86.Приклад. Колекція з подіями (25 П)	0
Convert	/\WConvert\W/gm	1	26.Введення та виведення на консоль (05 Р)	2	49.Приведення значущих типів (11 К); 97.Дані у текстовому файлі  (35 У)	0
структур+	/\W[с|С]труктур\w{0,3}\W/gm	1	28.Структури (06 С)	5	30.Конструктор копіювання (06 С); 34.Приклад класу - Turtle (07 О); 49.Приведення значущих типів (11 К); 79.Узагальнені стандартні типи (22 У); 101.Зв'язані списки (36 З)	0
struct	/\Wstruct\W/gm	1	28.Структури (06 С)	3	30.Конструктор копіювання (06 С); 77.Обмеження типу (21 У); 105.Інтерфейс IDictionary<TKey, TValue> (37 А)	0
public	/\Wpublic\W/gm	1	28.Структури (06 С)	31	30.Конструктор копіювання (06 С); 34.Приклад класу - Turtle (07 О); 36.Рівні доступу (08 І); 37.Приховування даних (08 І); 38.Властивості (09 В); 39.Автоматичні властивості (09 В); 41.Приклад - колекція рядків (09 В); 43.Спадкування та конструктори (10 С); 44.Перевизначення полів та методів (10 С); 46.Підкласи (11 К); 50.Статичні члени класу (111 ); 51.Віртуальні методи (12 В); 54.Приклад. Модель бібліотеки (13 П); 55.Абстрактні класи (13 П); 57.Модель (14 Г); 64.Абстрактний клас TextReader (17 Т); 65.Абстрактний клас TextWriter (17 Т); 73.Стандартний інтерфейс System.IComparable (20 І); 74.Інтерфейс System.IComparer (20 І); 78.Узагальнені класи (22 У); 80.Узагальнені інтерфейси (22 У); 81.Інтерфейс IList<T> (23 П); 83.Як влаштований делегат (24 Д); 86.Приклад. Колекція з подіями (25 П); 87.Метод On (25 П); 94.Додавання книг (34 У); 97.Дані у текстовому файлі  (35 У); 98.Серіалізація (35 У); 101.Зв'язані списки (36 З); 105.Інтерфейс IDictionary<TKey, TValue> (37 А); 111.Інтерфейси IEnumerable та IEnumerator (39 І)	0
