OrdNo	PartId	LectName	Defed	Used
41	Автоматичні властивості	09 Властивості та індексатори.	1	7	
42	Індексатори	09 Властивості та індексатори.	1	8	
43	Приклад - колекція рядків	09 Властивості та індексатори.	0	16	
44	10 Спадкування	10 Спадкування.	3	0	
45	Спадкування та конструктори	10 Спадкування.	1	9	
46	Перевизначення полів та методів	10 Спадкування.	1	7	
47	Додаткові рівні доступу	10 Спадкування.	2	7	
48	11 Класи та підкласи	11 Класи та підкласи.	1	5	
49	Спадкування та приведення типу	11 Класи та підкласи.	1	11	
50	Параметри методів	11 Класи та підкласи.	0	4	
51	Приведення значущих типів	11 Класи та підкласи.	0	7	
52	Статичні члени класу	111 Статичні методи та класи.	1	17	
53	12 Віртуальні методи	12 Віртуальні методи.	3	14	
54	Як реалізується віртуальність	12 Віртуальні методи.	2	1	
55	Поліморфізм	13 Поліморфізм спадкування.	1	10	
56	Приклад. Модель бібліотеки	13 Поліморфізм спадкування.	0	12	
57	Абстрактні класи	13 Поліморфізм спадкування.	1	9	
58	Умови гри	14 Гра Хрестики-Нулики.	0	1	
59	Модель	14 Гра Хрестики-Нулики.	1	18	
60	Вигляд ( або уявлення)	14 Гра Хрестики-Нулики.	0	5	
61	Шаблон MVC	14 Гра Хрестики-Нулики.	1	2	
62	Як створити програмний виняток	15 Винятки.	3	7	
63	Як зловити виняток	15 Винятки.	1	4	
64	Селекція винятків	15 Винятки.	1	4	
65	17 Текстові файли	17 Текстові файли.	4	2	
66	Абстрактний клас TextReader	17 Текстові файли.	5	14	
67	Абстрактний клас TextWriter	17 Текстові файли.	4	14	
68	Кодування символів	17 Текстові файли.	3	8	
69	18 Гарантоване виконання	18 Гарантоване виконання.	2	5	
70	Переходи в блоці try	18 Гарантоване виконання.	0	4	
71	Команда using	18 Гарантоване виконання.	1	9	
72	Абстрактний клас Stream	19 Двійкові файли та класи ФС.	3	5	
73	Клас FileStream	19 Двійкові файли та класи ФС.	2	12	
74	Класи файлової системи	19 Двійкові файли та класи ФС.	2	5	
75	20 Інтерфейси	20 Інтерфейси.	1	11	
76	Стандартний інтерфейс System.IComparable	20 Інтерфейси.	1	8	
77	Інтерфейс System.IComparer	20 Інтерфейси.	1	5	
78	Принцип підстановки Лісков	21 Узагальнені методи.	3	5	
79	Узагальнені методи	21 Узагальнені методи.	1	9	
80	Обмеження типу	21 Узагальнені методи.	2	11	
81	22 Узагальнені класи	22 Узагальнені класи.	1	14	
82	Узагальнені стандартні типи	22 Узагальнені класи.	1	2	
83	Узагальнені інтерфейси	22 Узагальнені класи.	2	7	
84	Інтерфейс IList<T>	23 Послідовні колекції.	3	8	
85	Колекція List<T>	23 Послідовні колекції.	2	15	
86	24 Делегати	24 Делегати.	2	14	
87	Як влаштований делегат	24 Делегати.	4	12	
88	Лямбда-вирази	24 Делегати.	2	3	
89	25 Події	25 Події.	3	5	
90	Приклад. Колекція з подіями	25 Події.	0	17	
91	Метод On	25 Події.	1	2	
92	Архітектура програми	31 Що таке WinForms.	3	8	
93	Дизайнер UI	31 Що таке WinForms.	1	1	
94	Організація UI	31 Що таке WinForms.	2	2	
95	UI гри	32 Хрестики-Нулики в WF.	0	8	
96	Клас XButton	32 Хрестики-Нулики в WF.	0	5	
97	Код форми з поясненнями	32 Хрестики-Нулики в WF.	1	18	
98	33 Університетська Бібліотека (УБ)	33 Університетська Бібліотека (УБ).	0	1	
99	Модель	33 Університетська Бібліотека (УБ).	0	19	
100	Форма	33 Університетська Бібліотека (УБ).	1	14	
101	Головне меню	34 УБ - меню, події, прив'язка, валідація.	1	2	
102	Події у WinForms	34 УБ - меню, події, прив'язка, валідація.	2	10	
103	Прив'язка даних	34 УБ - меню, події, прив'язка, валідація.	2	4	
104	Додавання книг	34 УБ - меню, події, прив'язка, валідація.	0	17	
105	Редагування книг	34 УБ - меню, події, прив'язка, валідація.	0	1	
106	Перевірка вводу користувача	34 УБ - меню, події, прив'язка, валідація.	1	7	
107	Дані у текстовому файлі 	35 УБ - сховище даних, діалоги.	0	14	
108	Серіалізація	35 УБ - сховище даних, діалоги.	3	10	
109	Меню File і стандартні діалоги	35 УБ - сховище даних, діалоги.	2	12	
110	Завершення роботи програми	35 УБ - сховище даних, діалоги.	1	8	
111	36 Зв'язані списки	36 Зв'язані списки.	4	22	
112	Часова складність операцій	36 Зв'язані списки.	0	1	
113	Інші різновиди списків	36 Зв'язані списки.	1	3	
114	37 Асоціативні колекції	37 Асоціативні колекції.	2	2	
115	Інтерфейс IDictionary<TKey, TValue>	37 Асоціативні колекції.	1	11	
116	Клас Dictionary<TKey, TValue>	37 Асоціативні колекції.	1	9	
117	Порівняння List із Dictionary	37 Асоціативні колекції.	1	0	
118	Як влаштована хеш-таблиця	38 Хеш-таблиці.	2	3	
119	Метод GetHashCode()	38 Хеш-таблиці.	1	7	
120	Інші колекції	38 Хеш-таблиці.	4	4	
121	Інтерфейси IEnumerable та IEnumerator	39 Ітератори.	4	7	
122	Цикл foreach	39 Ітератори.	1	12	
123	40 Генератори	40 Генератори.	2	15	
124	Генератори в колекціях	40 Генератори.	0	5	
125	Автономні генератори	40 Генератори.	0	10	
126	51 LINQ. Вступ	51 LINQ. Вступ.	1	10	
127	Методи-розширення (extension methods)	51 LINQ. Вступ.	1	5	
128	Композиція ітераторів	51 LINQ. Вступ.	2	8	
129	Запит Where - фільтр	52 LINQ. Фильтрация, проекция, агрегация.	0	9	
130	Запит Select	52 LINQ. Фильтрация, проекция, агрегация.	2	9	
131	Запити агрегації	52 LINQ. Фильтрация, проекция, агрегация.	2	6	
132	Запит SelectMany	53 LINQ. Группирование и соединение.	1	7	
133	Запит GroupBy	53 LINQ. Группирование и соединение.	2	9	
134	Запит Join	53 LINQ. Группирование и соединение.	2	5	
135	Запит GroupJoin	53 LINQ. Группирование и соединение.	1	5	
136	Запити OrderBy та ThenBy	54 LINQ. Прочие запросы.	2	4	
137	Розбиття	54 LINQ. Прочие запросы.	4	4	
